geneID	baseMean	log2FC_Vs-VS	log2FC_vs-Vs	log2FC_vs-VS	log2FC_vs-vS	log2FC_vS-Vs	log2FC_vS-VS	padj_Vs-VS	padj_vs-Vs	padj_vs-VS	padj_vs-vS	padj_vS-Vs	padj_vS-VS
AT3G50630	97.93687885	0.196066859	-0.165907304	0.030159554	-0.660321461	0.494414157	0.690481015	1	0.373960226	0.889641978	9.14E-05	0.005487102	0.000138833
AT3G50640	62.41192835	-0.036061281	0.015559835	-0.020501446	0.024477959	-0.008918124	-0.044979405	1	0.949811567	0.936147154	0.927777244	0.975631093	0.874905938
AT3G50650	536.3068752	-0.036735526	2.110103576	2.07336805	0.194166529	1.915937046	1.879201521	1	1.25E-41	2.02E-39	0.268112348	1.89E-33	1.42E-31
AT3G50660	524.1644152	0.09634585	0.175228585	0.271574436	-0.416144393	0.591372978	0.687718828	1	0.137600844	0.020212344	0.000223091	1.93E-07	1.96E-09
AT3G50670	993.1673154	0.271148178	-0.450186634	-0.179038456	-0.001096402	-0.449090232	-0.177942054	1	0.00559099	0.304222133	0.996363593	0.008977616	0.352293
AT3G50685	304.688657	-0.119778123	-0.585461989	-0.705240112	0.501007219	-1.086469208	-1.206247331	1	3.83E-07	1.05E-09	6.23E-05	1.40E-19	1.30E-23
AT3G50690	43.62942201	0.221148116	-0.23624359	-0.015095474	-0.528021391	0.291777801	0.512925917	1	0.350072432	0.959697129	0.02808546	0.270018787	0.050739935
AT3G50700	405.6541586	0.123406661	0.263257791	0.386664451	-0.809584232	1.072842023	1.196248684	1	0.017099665	0.000515708	1.66E-15	8.42E-25	4.98E-29
AT3G50740	640.9715803	0.009366866	-1.610190451	-1.600823586	-1.317863163	-0.292327288	-0.282960423	1	5.73E-35	3.06E-34	3.53E-23	0.042732038	0.052684676
AT3G50750	131.973674	0.191480738	-0.001716988	0.18976375	0.429763401	-0.43148039	-0.239999651	1	0.994454325	0.392576999	0.045690118	0.052954514	0.323450163
AT3G50760	164.3590544	-0.18667415	2.530817873	2.344143723	1.013544008	1.517273865	1.330599715	1	1.64E-38	1.15E-32	5.84E-08	1.53E-13	1.89E-10
AT3G50770	61.03147595	-0.111999018	3.845351732	3.733352714	3.035445545	0.809906187	0.697907169	1	6.89E-23	3.30E-21	1.63E-15	0.081444957	0.145176201
AT3G50780	372.0013657	-0.19920606	1.692564274	1.493358214	0.409042074	1.2835222	1.08431614	1	7.34E-35	4.29E-27	0.003719668	1.56E-19	4.96E-14
AT3G50790	274.616525	-0.048826812	-1.282755492	-1.331582304	-0.760118374	-0.522637118	-0.57146393	1	1.26E-28	4.12E-30	3.36E-10	9.83E-06	1.62E-06
AT3G50800	85.90525473	-0.227127223	1.307000691	1.079873468	0.278511309	1.028489382	0.801362159	1	2.64E-09	1.19E-06	0.238841245	9.73E-06	0.000800581
AT3G50810	44.61609992	-0.279058386	0.678578782	0.399520395	0.167232663	0.511346119	0.232287732	1	0.009570173	0.14160984	0.570929146	0.077688184	0.463635657
AT3G50820	14739.02843	0.065491656	-0.578729021	-0.513237365	0.246511852	-0.825240872	-0.759749217	1	6.59E-05	0.00044129	0.122468285	2.25E-08	3.15E-07
AT3G50825	34.20317041	0.123991062	-1.566435422	-1.44244436	-1.17735314	-0.389082282	-0.26509122	1	3.76E-09	1.28E-07	2.35E-05	0.165909743	0.382900376
AT3G50830	735.9381156	-0.037680955	0.171800173	0.134119217	0.685682012	-0.51388184	-0.551562795	1	0.223354577	0.354270519	3.13E-07	0.000231158	7.99E-05
AT3G50840	101.1519833	-0.018440718	1.031079672	1.012638954	1.092268419	-0.061188746	-0.079629465	1	1.38E-05	2.57E-05	5.97E-06	0.855495385	0.808242284
AT3G50845	40.82693762	-0.404408655	1.118399926	0.713991271	0.480434338	0.637965588	0.233556933	1	4.79E-07	0.001386149	0.028549309	0.010886333	0.397186398
AT3G50860	32.03190095	0.24197619	-0.152899465	0.089076725	0.180122491	-0.333021957	-0.091045767	1	0.554865352	0.753755797	0.517881661	0.227235685	0.782325966
AT3G50880	290.6161962	0.120281809	0.099595563	0.219877372	-0.05555958	0.155155143	0.275436952	1	0.398966429	0.056339577	0.668565717	0.213854848	0.023434196
AT3G50890	35.92556495	0.4682347	-1.535950119	-1.067715419	-0.478939909	-1.05701021	-0.58877551	1	7.37E-10	5.55E-05	0.101100128	3.37E-05	0.038049843
AT3G50900	197.9998521	0.060267115	0.103771492	0.164038608	0.17669426	-0.072922768	-0.012655652	1	0.446042926	0.226695354	0.196428129	0.650810381	0.945628515
AT3G50910	806.7979469	-0.090940551	0.837346203	0.746405651	0.327283968	0.510062234	0.419121683	1	9.87E-08	2.48E-06	0.054492309	0.002573386	0.015669997
AT3G50920	113.3331666	-0.091534591	-0.083498453	-0.175033044	-0.240152367	0.156653914	0.065119323	1	0.717249325	0.435503716	0.286517508	0.526941241	0.807965942
AT3G50930	2675.732001	-0.184000504	1.889157377	1.705156874	1.43776116	0.451396217	0.267395713	1	3.18E-27	2.38E-22	6.75E-16	0.021242556	0.198595527
AT3G50950	2224.695225	-0.061241081	0.509962284	0.448721202	0.32419851	0.185763774	0.124522692	1	0.003726826	0.011556662	0.085834045	0.369782748	0.56470072
AT3G50960	92.76242398	0.136213842	-0.458297925	-0.322084083	-0.434658215	-0.02363971	0.112574132	1	0.004870656	0.062128383	0.009271146	0.913566994	0.580014253
AT3G50970	2467.747894	0.308048712	0.549147715	0.857196427	0.416694401	0.132453314	0.440502026	1	0.00279457	2.11E-06	0.031555523	0.558568897	0.026880265
AT3G51000	385.2425486	0.09856784	1.997849129	2.096416969	1.912029457	0.085819672	0.184387512	1	2.13E-47	4.22E-50	1.03E-43	0.652374561	0.300899897
AT3G51010	438.0917586	-0.079992205	-0.546609856	-0.626602062	-0.458319937	-0.088289919	-0.168282124	1	1.32E-10	3.04E-13	1.34E-07	0.385825129	0.080638679
AT3G51030	87.0839457	0.193496918	2.830617107	3.024114025	1.54857311	1.282043997	1.475540915	1	1.45E-37	3.08E-38	1.73E-14	1.23E-07	6.44E-09
AT3G51040	205.5860431	0.029885645	0.549681829	0.579567474	0.29084391	0.258837919	0.288723564	1	3.38E-06	1.89E-06	0.017659402	0.054448819	0.035885835
AT3G51050	916.5713086	0.026573822	-0.023497588	0.003076234	0.211912814	-0.235410403	-0.20883658	1	0.780713941	0.973380911	0.005496282	0.002596087	0.009441975
AT3G51075	43.03553088	0.090876094	-0.255290127	-0.164414033	-0.233812019	-0.021478108	0.069397986	1	0.292581315	0.526280913	0.359018149	0.945287834	0.82101964
AT3G51080	89.07033345	0.151032673	-0.99981026	-0.848777587	-1.139721787	0.139911528	0.290944201	1	6.93E-09	2.19E-06	3.20E-11	0.481344051	0.127981078
AT3G51090	145.2899674	0.094897421	1.480100931	1.574998351	0.703574857	0.776526073	0.871423494	1	1.09E-27	1.30E-28	5.63E-08	1.52E-07	1.40E-08
AT3G51100	372.4302758	0.053221101	0.292972724	0.346193825	0.115665933	0.177306791	0.230527892	1	0.002325615	0.000415106	0.273036899	0.100589714	0.033469233
AT3G51110	148.1171208	0.057447023	0.036983115	0.094430138	-0.106739951	0.143723065	0.201170088	1	0.842649291	0.60699289	0.567298443	0.455143636	0.290443173
AT3G51120	889.3574591	-0.045379005	0.267051079	0.221672075	0.154883462	0.112167618	0.066788613	1	0.000630185	0.005574852	0.062209831	0.214486563	0.490541036
AT3G51130	745.1866303	0.017706622	0.743839686	0.761546308	0.753722518	-0.009882832	0.00782379	1	4.97E-14	2.49E-14	4.13E-14	0.945287834	0.958690973
AT3G51140	666.1065774	-0.060484257	-0.59782637	-0.658310626	-0.247798516	-0.350027854	-0.410512111	1	2.66E-06	2.48E-07	0.076122489	0.011155241	0.002723539
AT3G51150	230.1013912	-0.140575992	-0.759915788	-0.900491781	0.051801359	-0.811717148	-0.95229314	1	1.55E-07	5.27E-10	0.785482819	7.15E-08	2.31E-10
AT3G51160	1890.429779	0.047865185	0.438397557	0.486262742	0.368066617	0.07033094	0.118196125	1	1.19E-07	5.05E-09	1.50E-05	0.495095072	0.229548466
AT3G51180	166.3198102	0.160246402	-0.195873385	-0.035626983	0.084806547	-0.280679933	-0.120433531	1	0.216135875	0.845068416	0.640723537	0.094399322	0.525281
AT3G51220	53.76409268	0.193097717	2.001568024	2.19466574	1.719284763	0.282283261	0.475380978	1	1.52E-10	7.51E-12	4.33E-08	0.482664816	0.224095651
AT3G51230	89.62695487	-0.006792459	0.820077837	0.813285378	-0.381418116	1.201495953	1.194703495	1	1.23E-05	2.52E-05	0.039849617	1.89E-10	7.77E-10
AT3G51240	491.202885	0.040846148	-0.274246875	-0.233400726	0.48824569	-0.762492565	-0.721646417	1	0.048818563	0.100592139	0.000521474	3.88E-08	2.78E-07
AT3G51250	651.9265181	0.144317427	0.433778512	0.578095939	0.376167361	0.057611151	0.201928578	1	0.000588476	4.68E-06	0.003981558	0.728766616	0.167652265
