TXNAME	GENEID
KQL29120	SETIT_019912mg
KQL29121	SETIT_019913mg
KQL29123	SETIT_017906mg
KQL29124	SETIT_017411mg
KQL29127	SETIT_016612mg
KQL29130	SETIT_019400mg
KQL29135	SETIT_020146mg
KQL29137	SETIT_016347mg
KQL29138	SETIT_016347mg
KQL29141	SETIT_017689mg
KQL29144	SETIT_018253mg
KQL29145	SETIT_016862mg
KQL29146	SETIT_016862mg
KQL29147	SETIT_016862mg
KQL29148	SETIT_016862mg
KQL29149	SETIT_016862mg
KQL29150	SETIT_016862mg
KQL29153	SETIT_018588mg
KQL29155	SETIT_018588mg
KQL29154	SETIT_018588mg
KQL29161	SETIT_020371mg
KQL29165	SETIT_016996mg
KQL29166	SETIT_016996mg
KQL29167	SETIT_016996mg
KQL29168	SETIT_016996mg
KQL29175	SETIT_017064mg
KQL29176	SETIT_020162mg
KQL29177	SETIT_017086mg
KQL29178	SETIT_018972mg
KQL29183	SETIT_019036mg
KQL29184	SETIT_017963mg
KQL29185	SETIT_017966mg
KQL29187	SETIT_017326mg
KQL29186	SETIT_017326mg
KQL29190	SETIT_016266mg
KQL29191	SETIT_019515mg
KQL29192	SETIT_016166mg
KQL29193	SETIT_016166mg
KQL29194	SETIT_020618mg
KQL29195	SETIT_017959mg
KQL29196	SETIT_019801mg
KQL29197	SETIT_019983mg
KQL29198	SETIT_019238mg
KQL29199	SETIT_019200mg
KQL29200	SETIT_016261mg
KQL29201	SETIT_017825mg
KQL29202	SETIT_020131mg
KQL29205	SETIT_020512mg
KQL29207	SETIT_016721mg
KQL29210	SETIT_016832mg
KQL29209	SETIT_016832mg
KQL29211	SETIT_019005mg
KQL29213	SETIT_016688mg
KQL29214	SETIT_018138mg
KQL29215	SETIT_019165mg
KQL29216	SETIT_018490mg
KQL29217	SETIT_019846mg
KQL29225	SETIT_017803mg
KQL29226	SETIT_017803mg
KQL29227	SETIT_020637mg
KQL29229	SETIT_019917mg
KQL29231	SETIT_019405mg
KQL29233	SETIT_019319mg
KQL29234	SETIT_017373mg
KQL29235	SETIT_020096mg
KQL29236	SETIT_017203mg
KQL29237	SETIT_019148mg
KQL29240	SETIT_019859mg
KQL29241	SETIT_018774mg
KQL29243	SETIT_016392mg
KQL29244	SETIT_020560mg
KQL29246	SETIT_016810mg
KQL29247	SETIT_016810mg
KQL29248	SETIT_019797mg
KQL29249	SETIT_019369mg
KQL29251	SETIT_018608mg
KQL29256	SETIT_017080mg
KQL29258	SETIT_020032mg
KQL29261	SETIT_019253mg
KQL29262	SETIT_020269mg
KQL29263	SETIT_020269mg
KQL29268	SETIT_016485mg
KQL29269	SETIT_019074mg
KQL29270	SETIT_020027mg
KQL29271	SETIT_020327mg
KQL29277	SETIT_019673mg
KQL29279	SETIT_018083mg
KQL29283	SETIT_020004mg
KQL29285	SETIT_016442mg
KQL29286	SETIT_019499mg
KQL29287	SETIT_018895mg
KQL29288	SETIT_019855mg
KQL29289	SETIT_019888mg
KQL29291	SETIT_020489mg
KQL29294	SETIT_017392mg
KQL29295	SETIT_017392mg
KQL29296	SETIT_016524mg
KQL29298	SETIT_018853mg
KQL29303	SETIT_019028mg
KQL29308	SETIT_020037mg
KQL29310	SETIT_018316mg
